contract_id,overall_confidence,issues_count,total_kb3_evaluated,kb3_triggered,pass_count,fail_count,undetermined_acceptable,undetermined_problematic
C41.txt,78,7,18,2,11,5,0,2
C42.txt,78,6,18,1,12,4,0,2
C43.txt,78,6,18,2,12,4,0,2
C44.txt,100,4,18,4,14,2,0,2
C45.txt,78,6,18,1,12,4,0,2
C46.txt,100,4,18,3,14,2,0,2
C47.txt,78,6,18,4,12,4,0,2
C48.txt,78,6,18,8,12,4,0,2
C49.txt,78,6,18,4,12,5,0,1
C50.txt,78,6,18,3,12,4,0,2
C01.txt,78,6,18,2,12,4,0,2
C02.txt,78,6,18,2,12,4,0,2
C03.txt,78,6,18,2,12,4,0,2
C04.txt,100,3,18,3,15,1,0,2
C05.txt,78,6,18,2,12,4,0,2
C06.txt,78,6,18,2,12,4,0,2
C07.txt,78,6,18,5,12,4,0,2
C08.txt,100,2,18,4,16,1,0,1
C09.txt,78,6,18,2,12,4,0,2
C10.txt,78,6,18,1,12,4,0,2
C31.txt,78,6,18,3,12,4,0,2
C32.txt,78,6,18,3,12,4,0,2
C33.txt,78,6,18,0,12,4,0,2
C34.txt,78,6,18,2,12,4,0,2
C35.txt,100,4,18,4,14,2,0,2
C36.txt,78,6,18,2,12,4,0,2
C37.txt,100,4,18,3,14,2,0,2
C38.txt,78,7,18,1,11,5,0,2
C39.txt,78,6,18,0,12,4,0,2
C40.txt,100,4,18,1,14,2,0,2
C11.txt,78,6,18,7,12,4,0,2
C12.txt,78,6,18,1,12,4,0,2
C13.txt,100,4,18,4,14,2,0,2
C14.txt,78,6,18,2,12,4,0,2
C15.txt,78,6,18,4,12,4,0,2
C16.txt,78,6,18,2,12,4,0,2
C17.txt,78,6,18,2,12,4,0,2
C18.txt,100,2,18,1,16,0,0,2
C19.txt,100,4,18,5,14,2,0,2
C20.txt,78,7,18,5,11,5,0,2
C21.txt,100,4,18,3,14,2,0,2
C22.txt,78,7,18,1,11,5,0,2
C23.txt,78,6,18,6,12,4,0,2
C24.txt,100,2,18,4,16,0,0,2
C25.txt,100,4,18,3,14,2,0,2
C26.txt,78,6,18,3,12,4,0,2
C27.txt,100,4,18,5,14,2,0,2
C28.txt,78,6,18,4,12,5,0,1
C29.txt,78,6,18,2,12,4,0,2
C30.txt,78,6,18,6,12,4,0,2
