contract_id,type,n_wrong,wrong_fields,onboarding_distinct,onboarding_distinct__gt,usage_model,usage_model__gt,discount_type,discount_type__gt,material_right,material_right__gt,num_POs,num_POs__gt,transaction_price,transaction_price__gt,recognition_method,recognition_method__gt,recognition_period_months,recognition_period_months__gt,monthly_revenue,monthly_revenue__gt,opening_deferred,opening_deferred__gt
C01,simple_sub,0,,n/a,,none,none,none,none,FALSE,False,1,1.0,9600.0,9600.0,over_time_ratable,over_time_ratable,12,12.0,800.0,800.0,9600.0,9600.0
C02,simple_sub,0,,n/a,,none,none,none,none,FALSE,False,1,1.0,18000.0,18000.0,over_time_ratable,over_time_ratable,12,12.0,1500.0,1500.0,0.0,0.0
C03,simple_sub,0,,n/a,,none,none,none,none,FALSE,False,1,1.0,24000.0,24000.0,over_time_ratable,over_time_ratable,12,12.0,2000.0,2000.0,24000.0,24000.0
C04,simple_sub,1,opening_deferred,n/a,,none,none,none,none,FALSE,False,1,1.0,45000.0,45000.0,over_time_ratable,over_time_ratable,36,36.0,1250.0,1250.0,5000.0,15000.0
C05,simple_sub,0,,n/a,,none,none,none,none,FALSE,False,1,1.0,36000.0,36000.0,over_time_ratable,over_time_ratable,12,12.0,3000.0,3000.0,9000.0,9000.0
C06,simple_sub,0,,n/a,,none,none,none,none,FALSE,False,1,1.0,4800.0,4800.0,over_time_ratable,over_time_ratable,12,12.0,400.0,400.0,4800.0,4800.0
C07,simple_sub,0,,n/a,,none,none,none,none,FALSE,False,1,1.0,60000.0,60000.0,over_time_ratable,over_time_ratable,24,24.0,2500.0,2500.0,60000.0,60000.0
C08,simple_sub,0,,n/a,,none,none,none,none,FALSE,False,1,1.0,21600.0,21600.0,over_time_ratable,over_time_ratable,12,12.0,1800.0,1800.0,0.0,0.0
C09,simple_sub,0,,n/a,,none,none,none,none,FALSE,False,1,1.0,120000.0,120000.0,over_time_ratable,over_time_ratable,12,12.0,10000.0,10000.0,120000.0,120000.0
C10,simple_sub,0,,n/a,,none,none,none,none,FALSE,False,1,1.0,7200.0,7200.0,over_time_ratable,over_time_ratable,12,12.0,600.0,600.0,7200.0,7200.0
C11,sub_onboarding,0,,FALSE,FALSE,none,none,none,none,FALSE,False,1,1.0,15000.0,15000.0,over_time_ratable,over_time_ratable,12,12.0,1250.0,1250.0,15000.0,15000.0
C12,sub_onboarding,0,,TRUE,TRUE,none,none,none,none,FALSE,False,2,2.0,20000.0,20000.0,sub:over_time_ratable; onboarding:point_in_time,sub:over_time_ratable; onboarding:point_in_time,12,12.0,1666.6666666666667,1666.6666666666667,20000.0,20000.0
C13,sub_onboarding,0,,FALSE,FALSE,none,none,none,none,FALSE,False,1,1.0,44000.0,44000.0,over_time_ratable,over_time_ratable,12,12.0,3666.6666666666665,3666.6666666666665,44000.0,44000.0
C14,sub_onboarding,1,opening_deferred,TRUE,TRUE,none,none,none,none,FALSE,False,2,2.0,65000.0,65000.0,sub:over_time_ratable; onboarding:point_in_time,sub:over_time_ratable; onboarding:point_in_time,24,24.0,2708.3333333333335,2708.3333333333335,20000.0,35000.0
C15,sub_onboarding,0,,FALSE,FALSE,none,none,none,none,FALSE,False,1,1.0,19500.0,19500.0,over_time_ratable,over_time_ratable,12,12.0,1625.0,1625.0,19500.0,19500.0
C16,sub_onboarding,0,,FALSE,FALSE,none,none,none,none,FALSE,False,1,1.0,44000.0,44000.0,over_time_ratable,over_time_ratable,12,12.0,3666.6666666666665,3666.6666666666665,11000.0,11000.0
C17,sub_onboarding,0,,TRUE,TRUE,none,none,none,none,FALSE,False,2,2.0,11100.0,11100.0,sub:over_time_ratable; onboarding:point_in_time,sub:over_time_ratable; training:point_in_time,12,12.0,925.0,925.0,11100.0,11100.0
C18,sub_onboarding,2,"material_right, num_POs",FALSE,FALSE,none,none,none,none,FALSE,True,1,2.0,25000.0,25000.0,over_time_ratable,over_time_ratable,12,12.0,2083.3333333333335,2083.3333333333335,25000.0,25000.0
C19,sub_onboarding,0,,FALSE,FALSE,none,none,none,none,FALSE,False,1,1.0,18000.0,18000.0,over_time_ratable,over_time_ratable,12,12.0,1500.0,1500.0,0.0,0.0
C20,sub_onboarding,1,opening_deferred,TRUE,TRUE,none,none,none,none,FALSE,False,2,2.0,60000.0,60000.0,sub:over_time_ratable; onboarding:point_in_time,sub:over_time_ratable; onboarding:point_in_time,36,36.0,1666.6666666666667,1666.6666666666667,12000.0,24000.0
C21,sub_usage,0,,n/a,,base_plus_overage,base_plus_overage,none,none,FALSE,False,1,1.0,12000.0,12000.0,over_time_ratable,over_time_ratable,12,12.0,1000.0,1000.0,12000.0,12000.0
C22,sub_usage,0,,n/a,,minimum_commitment,minimum_commitment,none,none,FALSE,False,1,1.0,24000.0,24000.0,over_time_ratable,over_time_ratable,12,12.0,2000.0,2000.0,24000.0,24000.0
C23,sub_usage,0,,n/a,,pure_usage,pure_usage,none,none,FALSE,False,1,1.0,0.02,0.0,over_time_as_usage_occurs,over_time_as_usage_occurs,12,12.0,0.0016666666666666668,0.0,0.02,0.0
